,,KMeans,MeanShift,SpectralClustering,DBSCAN,FastDensityPeaks,FastDensityPeaks(autoassign),FastDensityPeaks(with halo)
compound,Davies Bouldin,0.839,0.555,0.955,0.626,0.714,0.555,0.497
compound,Silhouette,0.477,0.64,0.328,0.451,0.511,0.64,0.604
compound,Calinksi,859.898,1026.453,349.695,820.579,606.835,1026.453,343.998
pathbased,Davies Bouldin,1.269,0.637,2.004,0.632,0.555,0.943,0.441
pathbased,Silhouette,0.385,0.536,0.183,0.446,0.564,0.376,0.619
pathbased,Calinksi,149.651,273.825,33.662,371.105,303.677,148.879,319.558
jain,Davies Bouldin,0.829,1.265,0.839,,1.047,1.047,0.813
jain,Silhouette,0.478,0.335,0.468,,0.368,0.368,0.484
jain,Calinksi,1280.025,791.406,1212.366,,803.985,803.985,989.206
spiral,Davies Bouldin,1.299,,2.029,0.944,2.029,2.029,2.029
spiral,Silhouette,0.28,,0.216,0.474,0.216,0.216,0.216
spiral,Calinksi,121.515,,85.937,185.829,85.937,85.937,85.937
flame,Davies Bouldin,0.736,0.736,0.736,0.115,0.736,0.736,0.736
flame,Silhouette,0.525,0.525,0.525,0.912,0.525,0.525,0.525
flame,Calinksi,272.423,272.423,272.423,929.48,272.423,272.423,272.423
aggregation,Davies Bouldin,0.609,0.538,0.61,0.437,0.437,0.437,0.437
aggregation,Silhouette,0.569,0.59,0.395,0.623,0.623,0.623,0.623
aggregation,Calinksi,1781.146,866.162,488.96,1778.557,1778.557,1778.557,1778.557
circles,Davies Bouldin,1.158,0.784,395.231,632.831,1.261,0.77,0.676
circles,Silhouette,0.375,0.381,0.074,0.074,0.242,0.376,0.575
circles,Calinksi,619.405,1194.66,0.006,0.002,292.303,1044.995,238.478
d31,Davies Bouldin,0.344,,2.322,0.343,0.4,0.487,0.264
d31,Silhouette,0.75,,-0.05,0.752,0.726,0.65,0.806
d31,Calinksi,10573.514,,109.878,11994.6,7187.298,3812.427,5089.811
r15,Davies Bouldin,0.951,0.743,1.266,0.275,0.275,0.365,0.275
r15,Silhouette,0.411,0.49,0.163,0.791,0.791,0.642,0.791
r15,Calinksi,5478.443,431.189,87.817,7285.815,7244.754,1576.857,7244.754
